know-whether_to_VP-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (IN whether) (S (VP (TO to) (VP (VB do) (NP (NN something) ) ) ) ) ) ) )
know-so-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (RB so) ) ) )
know-so-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (RB so) ) )
know-whether_S_future-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (MD would) (VP (VB happen) ) ) ) ) ) ) )
know-whether_S_future-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (MD would) (VP (VB happen) ) ) ) ) ) )
know-NP_that_S_future-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (SBAR (IN that) (S (NP (NN something) ) (VP (MD would) (VP (VB happen) ) ) ) ) ) )
know-NP_whether_S_future-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (SBAR (IN whether) (S (NP (NN something) ) (VP (MD would) (VP (VB happen) ) ) ) ) ) )
know-NP-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN something) ) ) )
know-NP_VPing-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (VP (VBG (VB do) (ASP PRESPART) ) (NP (NN something) ) ) ) )
know-whichNP_S-passive	(S (NP (NN someone ) ) (VP (VP (VBD (VB be) (TENSE PAST) ) (VBN (VB know) (ASP PASTPART) ) (SBAR (WHNP (WDT which) (NN thing) ) (S (VBD (VB happen) (TENSE PAST) ) ) ) ) ) )
know-whichNP_S-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (SBAR (WHNP (WDT which) (NN thing) ) (S (VBD (VB happen) (TENSE PAST) ) ) ) ) )
know-VPing-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (VP (VBG (VB do) (ASP PRESPART) ) (NP (NN something) ) ) ) )
know-NP_that_S_notense-active	(S (NP (NN someone ) ) (VP (VBD (VB know) (TENSE PAST) ) (NP (NN someone) ) (SBAR (IN that) (S (NP (NN something) ) (VP (VB happen) ) ) ) ) )
